Cruise,Sonobuoy Number,Date,Latitude,Longitude,Sighting Number,Opportunistic Buoy?,Sonobuoy Type,Channel,Depth,Hours to Scuttle,Bad Buoys,Ship Noise?,Difar Signal?,Water Noise?,Biological Sounds?,Sounds Detected,DAT Tape Number,Additional Tapes?,Reception Distance (nmi),Recording Reviewed?,Comments
1617,1,8/4/2001 9:40,35.888,-126.7677,30,Other,53a,28,90,4,1,1,1,1,0,NA,1,0,NA,0,NA
1617,2,8/12/2001 13:21,45.7616,-124.1795,76,Other,57b,14,90,8,0,1,0,1,1,NA,2,0,NA,0,NA
1617,3,9/3/2001 17:54,47.1276,-127.934,98,Other,53a,53,90,4,0,1,1,1,1,NA,3,0,NA,0,NA
1617,4,9/21/2001 9:52,42.8111,-124.6615,179,Other,53d,14,90,4,0,1,1,1,1,NA,4,0,NA,0,NA
1617,5,9/24/2001 18:57,41.941,-128.119,232,Other,53a,14,90,4,0,1,1,1,1,NA,5,0,NA,0,NA
1617,6,9/24/2001 18:58,41.9965,-128.272333,232,Other,53a,27,90,4,0,1,1,1,1,NA,5,0,NA,0,CHECK LOCATION: SONOBUOY DEPLOYED BY SMALL BOAT!
1617,7,9/30/2001 19:17,34.598,-122.9506,261,Other,53A,27,90,4,1,1,1,1,1,NA,6,1,NA,0,NA
1617,8,10/2/2001 15:55,34.04,-119.1483,272,Other,53A,28,90,4,0,1,1,1,0,NA,9,0,NA,0,NA
1617,9,10/9/2001 12:07,32.4005,-118.939,291,Other,53A,14,90,4,0,1,1,1,1,NA,10,0,NA,0,"CHECK LOCATION, DEPLOYED BY SMALL BOAT"
1617,10,10/9/2001 12:59,32.365,-118.9415,291,Other,53A,17,90,4,1,1,1,1,1,NA,10,0,NA,0,NA
1617,11,10/14/2001 9:04,37.251,-126.7403,299,Other,57A,12,999,4,0,1,1,1,1,NA,11,0,NA,0,NA
1617,12,10/20/2001 9:12,43.667667,-129.4265,311,Other,57,999,999,999,0,1,0,1,1,NA,12,0,NA,0,CHECK WINCRUZ MAYBE FOR LOCATION?
1617,13,10/25/2001 17:40,45.2333,-126.9333,339,Other,57,26,90,8,0,0,0,0,0,NA,13,0,NA,0,NA
1617,14,10/25/2001 18:07,45.2323,-126.9301,339,Other,57B,16,90,8,0,0,0,0,0,NA,13,0,NA,0,NA
1617,15,11/15/2001 14:49,37.8997,-123.041,412,Other,57,23,60,8,1,1,0,1,1,NA,14,0,NA,0,NA
1617,16,11/18/2001 8:35,33.8408,-125.9753,415,Other,53D,26,90,8,1,1,1,1,0,NA,15,0,NA,0,NA
1617,17,11/23/2001 17:41,34.7583,-120.845,NA,Night,57,14,999,999,0,1,0,1,1,Mn,16,0,NA,0,"near s#438, 439 (Mn song)"
1617,18,11/23/2001 18:56,34.76,-120.98,NA,Night,999,21,999,999,2,1,0,1,1,"Mn, dw",16,1,NA,0,"near s#438, 439 (Mn song)"
1617,19,11/25/2001 12:45,36.3766,-122.7566,443,NA,999,27,999,999,1,1,0,1,1,NA,18,0,NA,0,NA
1617,20,11/26/2001 16:49,37.0383,-125.8579,452,Other,999,21,90,8,0,1,0,1,1,NA,19,0,NA,0,NA
1617,21,11/27/2001 14:12,36.7275,-124.3918,456,Other,53,26,90,8,1,1,0,1,0,NA,20,0,NA,0,also near s#457
